order_id,product_id,add_to_cart_order,reordered
4801,11182,1,1
4801,30233,2,1
4801,7948,3,1
4801,13176,4,1
4801,1463,5,1
4801,34243,6,1
4801,22963,7,1
4801,27012,8,0
4801,2124,9,0
4801,2090,10,0
4801,38453,11,0
4801,46962,12,0
4801,42768,13,0
4801,47862,14,0
6601,19660,1,1
6601,15322,2,1
6601,40910,3,1
6601,25949,4,1
6601,1511,5,1
6601,21626,6,1
6601,46676,7,1
6601,38889,8,1
6601,45204,9,1
6601,9210,10,1
6601,20127,11,1
6601,11046,12,0
6601,34969,13,1
7916,24852,1,1
7916,1940,2,1
7916,12011,3,1
7916,39428,4,1
7916,9454,5,1
7916,2091,6,1
7916,33846,7,1
7916,1429,8,1
7916,30183,9,1
7916,41023,10,0
7916,14890,11,1
7916,38293,12,1
7916,45588,13,0
7916,23760,14,0
7916,27796,15,0
7916,33626,16,0
7916,48800,17,0
13988,47492,1,1
13988,10070,2,1
13988,41806,3,1
13988,32134,4,1
13988,13176,5,1
13988,37754,6,1
13988,4809,7,1
13988,33731,8,1
13988,14678,9,1
13988,7054,10,1
13988,30442,11,1
13988,11078,12,1
13988,10948,13,0
13988,31275,14,0
13988,40627,15,0
13988,46667,16,1
13988,31717,17,0
19715,46315,1,1
19715,44843,2,1
19715,49610,3,1
19715,42490,4,1
19715,26456,5,1
19715,14726,6,1
19715,45134,7,1
19715,23375,8,1
19715,7410,9,1
19715,41269,10,1
19715,12764,11,0
19715,16741,12,0
19715,23452,13,0
19715,34253,14,0
19715,536,15,0
19715,226,16,0
19715,9531,17,0
19715,7431,18,0
19715,13828,19,0
25854,21137,1,1
25854,13176,2,1
25854,37646,3,1
25854,46906,4,1
25854,11782,5,1
25854,5212,6,1
25971,13554,1,0
25971,4357,2,0
25971,32398,3,0
25971,28199,4,1
25971,29077,5,1
25971,22793,6,1
25991,46979,1,1
25991,24852,2,1
25991,47766,3,1
25991,6104,4,1
25991,27845,5,1
25991,47630,6,1
25991,260,7,1
25991,23257,8,0
25991,28226,9,1
25991,21137,10,1
25991,40706,11,1
25991,34969,12,1
25991,41593,13,1
25991,18471,14,0
25991,17988,15,0
25991,16521,16,0
25991,46676,17,0
25991,1202,18,1
25991,42380,19,0
25991,27065,20,0
29545,17545,1,0
29545,2512,2,0
29545,49030,3,1
29545,47226,4,0
29545,8536,5,1
29545,7600,6,0
29545,33291,7,0
29545,29553,8,0
29545,23734,9,1
29545,28842,10,0
29545,43509,11,0
33914,4472,1,0
33914,27156,2,0
33914,5876,3,0
33914,46667,4,1
33914,30391,5,0
33914,12686,6,0
33914,22935,7,1
33914,39877,8,1
33914,44359,9,0
33914,31717,10,1
33914,35530,11,0
33914,21137,12,0
36927,20383,1,0
36927,46321,2,1
36927,24561,3,1
36927,33407,4,0
36927,22963,5,1
36927,36735,6,0
36927,16797,7,0
36927,260,8,1
36927,31257,9,0
36927,13829,10,0
36927,39055,11,0
37346,13855,1,0
37346,45196,2,0
37346,27629,3,0
37346,10255,4,1
37346,15544,5,0
37346,46697,6,0
37346,47282,7,1
37346,23313,8,0
37346,35507,9,1
37346,43556,10,0
37346,13020,11,0
37346,6000,12,0
37346,8501,13,0
37346,8109,14,0
37346,3318,15,0
37737,27762,1,1
37737,24838,2,0
37737,19677,3,0
37737,40211,4,0
39067,13176,1,1
39067,4472,2,1
39067,24062,3,1
39067,19057,4,1
39067,28289,5,1
39067,16953,6,1
39067,22825,7,0
39067,47087,8,0
39067,22124,9,0
39067,16996,10,0
39067,7175,11,0
39067,36209,12,0
39067,22228,13,0
39067,13560,14,0
39067,16797,15,0
44467,9834,1,0
44467,33065,2,1
44467,38444,3,1
44467,6058,4,0
44467,15663,5,0
